SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22021,203507,0022100301,"NOV 28, 2021",MIL @ IND,W,33,10,15,0.667,0,2,0.0,6,10,0.6,4,9,13,3,0,1,5,1,26,12,1
22021,203507,0022100288,"NOV 26, 2021",MIL @ DEN,W,30,10,13,0.769,1,1,1.0,3,9,0.333,0,13,13,7,0,1,1,0,24,18,1
22021,203507,0022100273,"NOV 24, 2021",MIL vs. DET,W,31,12,17,0.706,1,4,0.25,8,10,0.8,2,5,7,5,2,2,1,2,33,25,1
22021,203507,0022100258,"NOV 22, 2021",MIL vs. ORL,W,24,4,12,0.333,0,4,0.0,4,6,0.667,2,6,8,9,1,2,1,3,12,38,1
22021,203507,0022100244,"NOV 20, 2021",MIL vs. ORL,W,30,8,16,0.5,1,3,0.333,15,23,0.652,2,18,20,5,2,3,5,4,32,15,1
22021,203507,0022100234,"NOV 19, 2021",MIL vs. OKC,W,36,6,16,0.375,0,4,0.0,9,11,0.818,0,19,19,7,2,4,5,5,21,23,1
22021,203507,0022100219,"NOV 17, 2021",MIL vs. LAL,W,36,18,23,0.783,3,4,0.75,8,11,0.727,2,7,9,3,1,1,4,1,47,1,1
22021,203507,0022100193,"NOV 14, 2021",MIL @ ATL,L,34,9,21,0.429,1,5,0.2,7,12,0.583,1,4,5,6,1,1,3,5,26,-9,1
22021,203507,0022100161,"NOV 10, 2021",MIL @ NYK,W,38,5,15,0.333,2,5,0.4,3,4,0.75,2,13,15,8,1,2,3,4,15,21,1
22021,203507,0022100155,"NOV 09, 2021",MIL @ PHI,W,36,12,26,0.462,0,2,0.0,7,13,0.538,1,15,16,4,0,2,0,1,31,13,1
22021,203507,0022100142,"NOV 07, 2021",MIL @ WAS,L,39,12,26,0.462,0,4,0.0,5,12,0.417,6,12,18,5,3,1,3,4,29,-6,1
22021,203507,0022100128,"NOV 05, 2021",MIL vs. NYK,L,31,7,17,0.412,2,7,0.286,9,11,0.818,1,6,7,4,2,0,3,3,25,-5,1
22021,203507,0022100103,"NOV 02, 2021",MIL @ DET,W,27,9,16,0.563,3,7,0.429,7,7,1.0,0,8,8,9,0,4,3,2,28,22,1
22021,203507,0022100091,"OCT 31, 2021",MIL vs. UTA,L,35,10,20,0.5,3,11,0.273,2,2,1.0,2,5,7,6,2,2,2,3,25,-10,1
22021,203507,0022100085,"OCT 30, 2021",MIL vs. SAS,L,34,11,18,0.611,0,3,0.0,6,11,0.545,0,13,13,3,0,0,7,5,28,-3,1
22021,203507,0022100060,"OCT 27, 2021",MIL vs. MIN,L,35,15,23,0.652,3,6,0.5,7,9,0.778,4,12,16,7,0,3,2,1,40,9,1
22021,203507,0022100042,"OCT 25, 2021",MIL @ IND,W,36,10,18,0.556,0,2,0.0,10,13,0.769,1,9,10,9,1,2,2,2,30,14,1
22021,203507,0022100032,"OCT 23, 2021",MIL @ SAS,W,30,7,15,0.467,1,2,0.5,6,8,0.75,0,8,8,8,0,3,5,4,21,19,1
22021,203507,0022100015,"OCT 21, 2021",MIL @ MIA,L,23,4,11,0.364,1,3,0.333,6,10,0.6,1,9,10,2,3,0,2,3,15,-25,1
22021,203507,0022100001,"OCT 19, 2021",MIL vs. BKN,W,31,12,25,0.48,1,4,0.25,7,9,0.778,5,9,14,7,1,2,4,4,32,25,1
